embodiment_tag,tasks,episodes,frames,hours
arx_loong,11,1322,3300789,30.562861
AstribotS1,509,54416,64674593,598.838824
cobotmagic,140,34778,58221160,539.084815
DualUR5e,50,14905,23024456,213.189407
Dwheel,736,43258,97808348,905.632852
Genie1,1739,154021,485095219,4491.622398
GR2,1303,155590,173329898,1604.906463
lejukuafu,413,46167,76055616,704.218667
QingLong,253,85157,170180923,1575.749287
TIANJI,285,18239,22944534,212.449389
xinghaitu_r1,444,82011,123548480,1143.967407
ZhiYuanA2,299,45381,87864471,813.559917
fr3,9,2090,4037181,37.381306
linglong_h,2,120,446919,4.138139
